Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Primera Division,12/02/18,Tigre,Argentinos Jrs,2,0
Primera Division,13/02/18,Huracan,Rosario Central,2,3
Primera Division,16/02/18,Estudiantes L.P.,Union de Santa Fe,2,0
Primera Division,16/02/18,Racing Club,Lanus,3,1
Primera Division,17/02/18,Belgrano,Velez Sarsfield,2,2
Primera Division,17/02/18,Argentinos Jrs,Atl. Tucuman,2,2
Primera Division,17/02/18,San Lorenzo,Newells Old Boys,1,0
Primera Division,17/02/18,Temperley,Independiente,0,0
Primera Division,18/02/18,Rosario Central,Olimpo Bahia Blanca,5,0
Primera Division,18/02/18,Arsenal Sarandi,Huracan,1,1
Primera Division,18/02/18,San Martin S.J.,Talleres Cordoba,1,1
Primera Division,18/02/18,River Plate,Godoy Cruz,2,2
Primera Division,19/02/18,Banfield,Boca Juniors,0,1
Primera Division,19/02/18,Patronato,Chacarita Juniors,3,0
Primera Division,19/02/18,Tigre,Defensa y Justicia,1,1
Primera Division,20/02/18,Colon Santa FE,Gimnasia L.P.,1,0
Primera Division,23/02/18,Huracan,Estudiantes L.P.,1,0
Primera Division,23/02/18,Olimpo Bahia Blanca,Arsenal Sarandi,2,1
Primera Division,24/02/18,Godoy Cruz,Racing Club,1,2
Primera Division,24/02/18,Defensa y Justicia,Patronato,1,0
Primera Division,24/02/18,Lanus,Rosario Central,1,1
Primera Division,24/02/18,Velez Sarsfield,River Plate,1,0
Primera Division,25/02/18,Atl. Tucuman,Tigre,0,0
Primera Division,25/02/18,Chacarita Juniors,Belgrano,0,1
Primera Division,25/02/18,Independiente,Banfield,1,0
Primera Division,25/02/18,Boca Juniors,San Martin S.J.,4,2
Primera Division,25/02/18,Union de Santa Fe,Colon Santa FE,1,1
Primera Division,26/02/18,Newells Old Boys,Temperley,0,0
Primera Division,26/02/18,Talleres Cordoba,Argentinos Jrs,2,0
Primera Division,27/02/18,Gimnasia L.P.,San Lorenzo,1,0
Primera Division,02/03/18,Arsenal Sarandi,Lanus,2,1
Primera Division,02/03/18,Belgrano,Patronato,2,2
Primera Division,03/03/18,Colon Santa FE,Huracan,0,0
Primera Division,03/03/18,San Lorenzo,Union de Santa Fe,0,0
Primera Division,03/03/18,Tigre,Talleres Cordoba,0,0
Primera Division,03/03/18,Rosario Central,Godoy Cruz,1,2
Primera Division,04/03/18,Temperley,Gimnasia L.P.,1,1
Primera Division,04/03/18,Atl. Tucuman,Defensa y Justicia,0,1
Primera Division,04/03/18,Banfield,Newells Old Boys,1,0
Primera Division,04/03/18,River Plate,Chacarita Juniors,1,1
Primera Division,05/03/18,Racing Club,Velez Sarsfield,2,1
Primera Division,05/03/18,Estudiantes L.P.,Olimpo Bahia Blanca,1,0
Primera Division,05/03/18,San Martin S.J.,Independiente,0,4
Primera Division,06/03/18,Argentinos Jrs,Boca Juniors,2,0
Primera Division,09/03/18,Gimnasia L.P.,Banfield,0,2
Primera Division,09/03/18,Godoy Cruz,Arsenal Sarandi,1,0
Primera Division,10/03/18,Talleres Cordoba,Atl. Tucuman,3,1
Primera Division,10/03/18,Chacarita Juniors,Racing Club,1,1
Primera Division,10/03/18,Olimpo Bahia Blanca,Colon Santa FE,0,3
Primera Division,10/03/18,Boca Juniors,Tigre,2,1
Primera Division,11/03/18,Patronato,River Plate,0,1
Primera Division,11/03/18,Huracan,San Lorenzo,1,1
Primera Division,11/03/18,Lanus,Estudiantes L.P.,0,0
Primera Division,11/03/18,Velez Sarsfield,Rosario Central,2,2
Primera Division,12/03/18,Independiente,Argentinos Jrs,2,1
Primera Division,12/03/18,Defensa y Justicia,Belgrano,1,1
Primera Division,12/03/18,Union de Santa Fe,Temperley,3,0
Primera Division,13/03/18,Newells Old Boys,San Martin S.J.,2,0
Primera Division,16/03/18,Rosario Central,Chacarita Juniors,3,1
Primera Division,17/03/18,Colon Santa FE,Lanus,1,2
Primera Division,17/03/18,Argentinos Jrs,Newells Old Boys,1,0
Primera Division,17/03/18,Temperley,Huracan,1,2
Primera Division,17/03/18,San Martin S.J.,Gimnasia L.P.,3,0
Primera Division,17/03/18,San Lorenzo,Olimpo Bahia Blanca,2,0
Primera Division,17/03/18,Talleres Cordoba,Defensa y Justicia,1,0
Primera Division,18/03/18,Racing Club,Patronato,5,0
Primera Division,18/03/18,Arsenal Sarandi,Velez Sarsfield,1,1
Primera Division,18/03/18,Estudiantes L.P.,Godoy Cruz,0,1
Primera Division,18/03/18,Atl. Tucuman,Boca Juniors,1,1
Primera Division,18/03/18,River Plate,Belgrano,3,1
Primera Division,19/03/18,Banfield,Union de Santa Fe,0,2
Primera Division,20/03/18,Tigre,Independiente,1,1
Primera Division,30/03/18,Huracan,Banfield,1,1
Primera Division,31/03/18,Belgrano,Racing Club,2,2
Primera Division,31/03/18,Newells Old Boys,Tigre,2,1
Primera Division,31/03/18,Velez Sarsfield,Estudiantes L.P.,3,3
Primera Division,31/03/18,Gimnasia L.P.,Argentinos Jrs,1,3
Primera Division,31/03/18,Union de Santa Fe,San Martin S.J.,1,1
Primera Division,01/04/18,Independiente,Atl. Tucuman,0,2
Primera Division,01/04/18,Defensa y Justicia,River Plate,1,3
Primera Division,01/04/18,Chacarita Juniors,Arsenal Sarandi,2,2
Primera Division,01/04/18,Patronato,Rosario Central,3,0
Primera Division,01/04/18,Boca Juniors,Talleres Cordoba,2,1
Primera Division,02/04/18,Lanus,San Lorenzo,0,2
Primera Division,02/04/18,Olimpo Bahia Blanca,Temperley,1,1
Primera Division,03/04/18,Godoy Cruz,Colon Santa FE,2,1
Primera Division,05/04/18,Independiente,San Lorenzo,0,1
Primera Division,06/04/18,Tigre,Gimnasia L.P.,2,0
Primera Division,07/04/18,Argentinos Jrs,Union de Santa Fe,3,1
Primera Division,07/04/18,Rosario Central,Belgrano,2,1
Primera Division,07/04/18,Temperley,Lanus,2,2
Primera Division,07/04/18,Banfield,Olimpo Bahia Blanca,3,0
Primera Division,08/04/18,Boca Juniors,Defensa y Justicia,1,2
Primera Division,08/04/18,San Lorenzo,Godoy Cruz,0,5
Primera Division,08/04/18,San Martin S.J.,Huracan,0,1
Primera Division,08/04/18,Atl. Tucuman,Newells Old Boys,1,1
Primera Division,08/04/18,Talleres Cordoba,Independiente,0,2
Primera Division,09/04/18,Racing Club,River Plate,0,2
Primera Division,09/04/18,Arsenal Sarandi,Patronato,1,1
Primera Division,10/04/18,Estudiantes L.P.,Chacarita Juniors,0,2
Primera Division,13/04/18,Gimnasia L.P.,Atl. Tucuman,1,2
Primera Division,14/04/18,Huracan,Argentinos Jrs,1,0
Primera Division,14/04/18,Godoy Cruz,Temperley,3,0
