Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Liga 1,27/04/18,Voluntari,FC Juventus Bucuresti,0,1
Liga 1,28/04/18,Poli Timisoara,Concordia,1,0
Liga 1,28/04/18,CS U. Craiova,Viitorul Constanta,3,3
Liga 1,29/04/18,Gaz Metan Medias,FC Botosani,2,1
Liga 1,29/04/18,FC Steaua Bucuresti,CFR Cluj,1,1
Liga 1,30/04/18,Sepsi,Din. Bucuresti,2,0
Liga 1,30/04/18,Astra,Poli Iasi,3,0
Liga 1,04/05/18,Poli Timisoara,Voluntari,2,3
Liga 1,04/05/18,Viitorul Constanta,Astra,1,1
Liga 1,05/05/18,FC Juventus Bucuresti,FC Botosani,0,3
Liga 1,05/05/18,CFR Cluj,CS U. Craiova,1,0
Liga 1,06/05/18,Gaz Metan Medias,Din. Bucuresti,2,3
Liga 1,07/05/18,Sepsi,Concordia,0,2
Liga 1,07/05/18,Poli Iasi,FC Steaua Bucuresti,1,0
Liga 1,11/05/18,Poli Timisoara,FC Juventus Bucuresti,2,0
Liga 1,11/05/18,Viitorul Constanta,Poli Iasi,1,0
Liga 1,12/05/18,Voluntari,Sepsi,1,2
Liga 1,12/05/18,Din. Bucuresti,FC Botosani,2,0
Liga 1,13/05/18,Concordia,Gaz Metan Medias,0,0
Liga 1,13/05/18,Astra,CFR Cluj,0,2
Liga 1,14/05/18,CS U. Craiova,FC Steaua Bucuresti,0,1
Liga 1,15/05/18,Sepsi,Poli Timisoara,3,0
Liga 1,15/05/18,FC Juventus Bucuresti,Din. Bucuresti,0,2
Liga 1,16/05/18,FC Botosani,Concordia,0,1
Liga 1,17/05/18,Gaz Metan Medias,Voluntari,1,0
Liga 1,18/05/18,Sepsi,FC Juventus Bucuresti,2,1
Liga 1,19/05/18,Concordia,Din. Bucuresti,0,4
Liga 1,20/05/18,Voluntari,FC Botosani,1,1
Liga 1,20/05/18,CFR Cluj,Viitorul Constanta,1,0
Liga 1,20/05/18,FC Steaua Bucuresti,Astra,1,0
Liga 1,20/05/18,Poli Iasi,CS U. Craiova,1,2
Liga 1,21/05/18,Poli Timisoara,Gaz Metan Medias,0,0
Liga 1,22/05/18,Daco-Getica Bucuresti,Concordia,1,3
Liga 1,23/05/18,Din. Bucuresti,Voluntari,2,0
Liga 1,24/05/18,Gaz Metan Medias,Sepsi,1,1
Liga 1,24/05/18,FC Botosani,Poli Timisoara,0,0
Liga 1,26/05/18,Voluntari,Concordia,2,2
Liga 1,27/05/18,Sepsi,FC Botosani,0,1
Liga 1,28/05/18,Gaz Metan Medias,FC Juventus Bucuresti,3,0
Liga 1,28/05/18,Poli Timisoara,Din. Bucuresti,1,3
Liga 1,01/06/18,Din. Bucuresti,Sepsi,0,0
Liga 1,02/06/18,FC Botosani,Gaz Metan Medias,2,0
Liga 1,02/06/18,Concordia,Poli Timisoara,0,1
Liga 1,02/06/18,FC Juventus Bucuresti,Voluntari,2,2
Liga 1,09/06/18,Voluntari,Chindia Targoviste,1,0
Liga 1,13/06/18,Chindia Targoviste,Voluntari,1,0
