portugalia_1_2017,Meciuri:,306,,,,,
belgia_1_2016,Meciuri:,240,,,,,
G,PA,A,dA,PD,D,dD
0,20.02,20.42,0.4,32.2,35.42,3.22
1,32.2,30.83,-1.37,36.49,30.42,-6.07
2,25.9,29.58,3.68,20.68,23.33,2.65
3,13.88,10.83,-3.05,7.81,7.5,-0.31
4,5.58,5.0,-0.58,2.21,2.92,0.71
,,,,,,
scotia_1_2018,Meciuri:,69,,,,,
G,PA,A,dA,PD,D,dD
0,23.47,30.43,6.96,31.82,34.78,2.96
1,34.02,34.78,0.76,36.44,37.68,1.24
2,24.65,11.59,-13.06,20.86,15.94,-4.92
3,11.91,11.59,-0.32,7.96,5.8,-2.16
4,4.32,7.25,2.93,2.28,2.9,0.62
,,,,,,
scotia_2_2017,Meciuri:,180,,,,,
G,PA,A,dA,PD,D,dD
0,23.46,31.11,7.65,29.29,30.56,1.27
1,34.01,27.22,-6.79,35.97,37.22,1.25
2,24.66,18.89,-5.77,22.08,17.78,-4.3
3,11.92,13.89,1.97,9.04,10.0,0.96
4,4.32,6.67,2.35,2.77,2.22,-0.55
,,,,,,
scotia_3_2018,Meciuri:,60,,,,,
G,PA,A,dA,PD,D,dD
0,23.46,23.33,-0.13,24.25,21.67,-2.58
1,34.01,31.67,-2.34,34.36,38.33,3.97
2,24.66,25.0,0.34,24.34,25.0,0.66
3,11.92,16.67,4.75,11.49,8.33,-3.16
4,4.32,3.33,-0.99,4.07,5.0,0.93
,,,,,,
scotia_1_2016,Meciuri:,228,,,,,
G,PA,A,dA,PD,D,dD
0,23.01,21.49,-1.52,27.66,30.7,3.04
1,33.81,38.6,4.79,35.55,33.77,-1.78
2,24.84,22.81,-2.03,22.84,22.37,-0.47
3,12.16,9.21,-2.95,9.79,7.02,-2.77
4,4.47,5.7,1.23,3.14,3.07,-0.07
,,,,,,
scotia_2_2018,Meciuri:,60,,,,,
G,PA,A,dA,PD,D,dD
0,26.36,33.33,6.97,28.18,31.67,3.49
1,35.15,28.33,-6.82,35.69,28.33,-7.36
2,23.43,21.67,-1.76,22.6,28.33,5.73
3,10.41,10.0,-0.41,9.54,8.33,-1.21
4,3.47,1.67,-1.8,3.02,0.0,-3.02
,,,,,,
scotia_3_2016,Meciuri:,180,,,,,
G,PA,A,dA,PD,D,dD
0,22.94,26.11,3.17,26.07,25.56,-0.51
1,33.77,29.44,-4.33,35.05,34.44,-0.61
2,24.86,24.44,-0.42,23.56,27.78,4.22
3,12.2,12.78,0.58,10.56,6.11,-4.45
4,4.49,6.11,1.62,3.55,4.44,0.89
,,,,,,
scotia_3_2017,Meciuri:,180,,,,,
G,PA,A,dA,PD,D,dD
0,19.1,17.22,-1.88,21.11,27.78,6.67
1,31.62,28.33,-3.29,32.83,26.67,-6.16
2,26.17,35.56,9.39,25.54,25.0,-0.54
3,14.44,13.89,-0.55,13.24,9.44,-3.8
4,5.98,2.22,-3.76,5.15,5.56,0.41
,,,,,,
scotia_1_2017,Meciuri:,228,,,,,
G,PA,A,dA,PD,D,dD
0,24.68,25.44,0.76,29.94,31.58,1.64
1,34.53,34.21,-0.32,36.11,34.65,-1.46
2,24.16,23.68,-0.48,21.77,21.49,-0.28
3,11.27,10.53,-0.74,8.75,7.46,-1.29
4,3.94,3.95,0.01,2.64,3.51,0.87
,,,,,,
scotia_2_2016,Meciuri:,180,,,,,
G,PA,A,dA,PD,D,dD
0,25.07,24.44,-0.63,29.46,27.22,-2.24
1,34.69,36.67,1.98,36.0,40.0,4.0
2,23.99,23.33,-0.66,22.0,21.67,-0.33
3,11.06,9.44,-1.62,8.96,6.11,-2.85
4,3.83,4.44,0.61,2.74,4.44,1.7
,,,,,,
olanda_1_2017,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,17.87,17.65,-0.22,24.29,26.47,2.18
1,30.77,32.03,1.26,34.37,33.33,-1.04
2,26.5,24.84,-1.66,24.32,23.53,-0.79
3,15.21,16.67,1.46,11.47,10.13,-1.34
4,6.55,4.9,-1.65,4.06,4.25,0.19
,,,,,,
olanda_1_2016,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,19.07,19.93,0.86,29.17,29.41,0.24
1,31.6,33.33,1.73,35.94,36.93,0.99
2,26.18,22.55,-3.63,22.14,20.26,-1.88
3,14.46,14.38,-0.08,9.09,9.15,0.06
4,5.99,6.21,0.22,2.8,2.94,0.14
,,,,,,
olanda_1_2018,Meciuri:,98,,,,,
G,PA,A,dA,PD,D,dD
0,14.1,16.33,2.23,26.0,30.61,4.61
1,27.62,29.59,1.97,35.02,36.73,1.71
2,27.06,21.43,-5.63,23.59,16.33,-7.26
3,17.67,16.33,-1.34,10.59,6.12,-4.47
4,8.65,9.18,0.53,3.57,6.12,2.55
,,,,,,
spania_1_2016,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,18.95,22.89,3.94,27.83,28.16,0.33
1,31.52,28.16,-3.36,35.6,39.47,3.87
2,26.21,24.74,-1.47,22.76,17.37,-5.39
3,14.53,14.21,-0.32,9.7,8.68,-1.02
4,6.04,5.79,-0.25,3.1,4.74,1.64
,,,,,,
spania_2_2016,Meciuri:,462,,,,,
G,PA,A,dA,PD,D,dD
0,26.59,22.73,-3.86,39.51,39.39,-0.12
1,35.22,39.61,4.39,36.69,37.23,0.54
2,23.33,25.11,1.78,17.03,15.15,-1.88
3,10.3,9.09,-1.21,5.27,7.58,2.31
4,3.41,2.16,-1.25,1.22,0.65,-0.57
,,,,,,
spania_1_2017,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,21.28,25.0,3.72,31.75,35.79,4.04
1,32.93,30.0,-2.93,36.43,32.11,-4.32
2,25.48,24.74,-0.74,20.9,20.79,-0.11
3,13.14,11.84,-1.3,7.99,6.58,-1.41
4,5.08,4.21,-0.87,2.29,2.63,0.34
,,,,,,
spania_2_2017,Meciuri:,462,,,,,
G,PA,A,dA,PD,D,dD
0,25.02,24.03,-0.99,39.77,38.74,-1.03
1,34.67,33.77,-0.9,36.67,37.88,1.21
2,24.01,26.62,2.61,16.91,17.53,0.62
3,11.09,11.9,0.81,5.2,4.55,-0.65
4,3.84,2.6,-1.24,1.2,0.87,-0.33
,,,,,,
spania_1_2018,Meciuri:,110,,,,,
G,PA,A,dA,PD,D,dD
0,26.76,25.45,-1.31,31.81,30.91,-0.9
